,state_code,county_code,derived_msa-md,census_tract,action_taken,loan_amount,total_loan_costs
0,MA,25025,14454,25025020101,1,10005000.0,
1,MA,25025,14454,25025020101,1,10005000.0,
2,MA,25025,14454,25025091200,1,1005000.0,4874.0
3,MA,25025,14454,25025060301,1,1005000.0,6036.58
4,MA,25025,14454,25025010802,1,1005000.0,5224.67
5,MA,25025,14454,25025060400,1,1005000.0,11354.19
6,MA,25025,14454,25025070500,1,1005000.0,3735.0
7,MA,25025,14454,25025040401,1,1005000.0,22655.0
8,MA,25025,14454,25025040801,1,1005000.0,3835.75
9,MA,25025,14454,25025070101,1,1005000.0,5229.5
10,MA,25025,14454,25025000402,1,1005000.0,6035.8
11,MA,25025,14454,25025040801,1,1005000.0,5259.5
12,MA,25025,14454,25025070402,1,1005000.0,5449.5
13,MA,25025,14454,25025030500,1,1005000.0,4376.45
14,MA,25025,14454,25025040100,1,1005000.0,4188.85
15,MA,25025,14454,25025070800,1,1005000.0,3555.0
16,MA,25025,14454,25025120400,1,1005000.0,5085.65
17,MA,25025,14454,25025061200,1,1005000.0,Exempt
18,MA,25025,14454,25025060501,1,1005000.0,5590.66
19,MA,25025,14454,25025040300,1,1005000.0,Exempt
20,MA,25025,14454,25025070402,1,1005000.0,5449.5
21,MA,25025,14454,25025000402,1,1005000.0,6035.8
22,MA,25025,14454,25025061000,1,1005000.0,4728.25
23,MA,25025,14454,25025070101,1,1005000.0,6117.02
24,MA,25025,14454,25025091800,1,1005000.0,Exempt
25,MA,25025,14454,25025070300,1,1005000.0,Exempt
26,MA,25025,14454,25025060501,1,1005000.0,4391.0
27,MA,25025,14454,25025120400,1,1005000.0,5211.0
28,MA,25025,14454,25025020101,1,1005000.0,5243.0
29,MA,25025,14454,25025010801,1,1005000.0,5443.0
30,MA,25025,14454,25025060600,1,1005000.0,5328.0
31,MA,25025,14454,25025070700,1,1005000.0,
32,MA,25025,14454,25025040300,1,1005000.0,4030.9
33,MA,25025,14454,25025120400,1,1005000.0,7881.0
34,MA,25025,14454,25025070500,1,1005000.0,5478.0
35,MA,25025,14454,25025070300,1,1005000.0,6355.5
36,MA,25025,14454,25025050300,1,1005000.0,5226.25
37,MA,25025,14454,25025010802,1,1005000.0,10113.0
38,MA,25025,14454,25025071201,1,1005000.0,6441.0
39,MA,25025,14454,25025040401,1,1005000.0,3875.0
40,MA,25025,14454,25025010801,1,1005000.0,4105.5
41,MA,25025,14454,25025060600,1,1005000.0,5747.4
42,MA,25025,14454,25025070300,1,1005000.0,6011.4
43,MA,25025,14454,25025070101,1,1005000.0,
44,MA,25025,14454,25025010500,1,1005000.0,
45,MA,25025,14454,25025060600,1,1005000.0,
46,MA,25025,14454,25025030300,1,1005000.0,4249.7
47,MA,25025,14454,25025060600,1,1005000.0,5789.4
48,MA,25025,14454,25025010500,1,1005000.0,
49,MA,25025,14454,25025070402,1,1005000.0,5015.4
50,MA,25025,14454,25025030300,1,1005000.0,5742.4
51,MA,25025,14454,25025070101,1,1005000.0,1810.7
52,MA,25025,14454,25025070300,1,1005000.0,5850.44
53,MA,25025,14454,25025060600,1,1005000.0,0.0
54,MA,25025,14454,25025070101,1,1005000.0,3759.44
55,MA,25025,14454,25025010204,1,1005000.0,5274.94
56,MA,25025,14454,25025070600,1,1005000.0,1092.58
57,MA,25025,14454,25025010802,1,1005000.0,2565.0
58,MA,25025,14454,25025010802,1,1005000.0,3070.0
59,MA,25025,14454,25025070500,1,1005000.0,6579.6
60,MA,25025,14454,25025060600,1,1005000.0,3973.5
61,MA,25025,14454,25025120105,1,1005000.0,4681.65
62,MA,25025,14454,25025070700,1,1005000.0,5773.05
63,MA,25025,14454,25025010802,1,1005000.0,6134.11
64,MA,25025,14454,25025040600,1,1005000.0,4177.5
65,MA,25025,14454,25025060400,1,1005000.0,5425.7
66,MA,25025,14454,25025040801,1,1005000.0,5822.86
67,MA,25025,14454,25025070700,1,1005000.0,7914.49
68,MA,25025,14454,25025060501,1,1005000.0,4093.49
69,MA,25025,14454,25025040300,1,1005000.0,
70,MA,25025,14454,25025070500,1,1005000.0,
71,MA,25025,14454,25025010500,1,1005000.0,
72,MA,25025,14454,25025010701,1,1005000.0,
73,MA,25025,14454,25025061200,1,1005000.0,
74,MA,25025,14454,25025020101,1,1005000.0,
75,MA,25025,14454,25025010801,1,1005000.0,
76,MA,25025,14454,25025000502,1,1005000.0,6750.12
77,MA,25025,14454,25025070500,1,1005000.0,7007.12
78,MA,25025,14454,25025120105,1,1005000.0,1448.12
79,MA,25025,14454,25025040600,1,1005000.0,3580.72
80,MA,25025,14454,25025030100,1,1005000.0,4979.92
81,MA,25025,14454,25025040401,1,1005000.0,5659.83
82,MA,25025,14454,25025060200,1,1005000.0,5104.1
83,MA,25025,14454,25025060101,1,1005000.0,7280.06
84,MA,25025,14454,25025070300,1,1005000.0,
85,MA,25025,14454,25025040100,1,1005000.0,6625.75
86,MA,25025,14454,25025020101,1,1005000.0,9427.0
87,MA,25025,14454,25025040200,1,1005000.0,5597.65
88,MA,25025,14454,25025010801,1,1005000.0,5695.75
89,MA,25025,14454,25025120105,1,1005000.0,
90,MA,25025,14454,25025061200,1,1005000.0,5710.75
91,MA,25025,14454,25025120105,1,1005000.0,5665.41
92,MA,25025,14454,25025060600,1,1005000.0,
93,MA,25025,14454,25025060600,1,1005000.0,4853.5
94,MA,25025,14454,25025070101,1,1005000.0,
95,MA,25025,14454,25025010104,1,1005000.0,
96,MA,25025,14454,25025010802,1,1005000.0,4203.45
