census_tract,loan_type,count
25021442103.0,2,3
25021442103.0,3,12
25021442201.0,1,97
25021442201.0,2,4
25021442202.0,1,139
25021442202.0,2,16
25021442202.0,3,5
25021443101.0,1,144
25021443101.0,2,31
25021443101.0,3,8
25021443101.0,4,5
25021443102.0,1,241
25021443102.0,2,46
25021443102.0,3,14
25021443102.0,4,2
25021456101.0,1,97
25021456101.0,2,26
25021456101.0,3,1
25021456102.0,1,90
25021456102.0,2,28
25021456102.0,3,4
25021456200.0,1,71
25021456200.0,2,12
25021456200.0,3,3
25021456301.0,1,29
25021456301.0,2,16
25021456302.0,1,117
25021456302.0,2,20
25021456302.0,3,5
25021456401.0,1,51
25021456401.0,2,12
25021456402.0,1,90
25021456402.0,2,14
25021456402.0,4,1
25021457100.0,1,71
25021457100.0,2,48
25021457100.0,3,2
25021457200.0,1,123
25023500101.0,1,113
25023500101.0,2,2
25023500101.0,3,5
25023500101.0,4,1
25023500103.0,1,91
25023500103.0,2,4
25023500103.0,3,1
25023500104.0,1,100
25023500104.0,2,8
25023500104.0,3,4
25023501101.0,1,75
25023501101.0,3,4
25023501102.0,1,233
25023501102.0,2,3
25023501102.0,3,2
25023501201.0,1,82
25023501201.0,3,1
25023501202.0,1,125
25023501202.0,2,2
25023501202.0,3,2
25023502101.0,1,96
25023502101.0,2,26
25023502101.0,3,4
25023502102.0,1,93
25023502102.0,2,26
25023502102.0,3,5
25023502200.0,1,112
25023502200.0,2,26
25023502200.0,3,9
25023503101.0,1,131
25023503101.0,2,7
25023503101.0,3,6
25023503102.0,1,144
25023503102.0,2,2
25023503102.0,3,9
25023504101.0,1,138
25023504101.0,2,3
25023504102.0,1,137
25023504102.0,2,1
25023504102.0,3,9
25023505101.0,1,279
25023505101.0,2,3
25023505101.0,3,4
25023505102.0,1,128
25023505102.0,2,3
25023505102.0,3,3
25023505200.0,1,206
25023505200.0,2,3
25023505200.0,3,2
25023506101.0,1,134
25023506101.0,2,9
25023506101.0,3,5
25023506102.0,1,133
25023506102.0,2,1
25023506102.0,3,3
25023506202.0,1,40
25023506202.0,2,2
25023506202.0,3,1
25023506203.0,1,78
25023506203.0,2,4
25023506203.0,3,4
25023506204.0,1,111
25023506204.0,2,13
25023506204.0,3,5
25023507101.0,1,111
25023507101.0,2,5
25023507101.0,3,8
25023507103.0,1,101
25023507103.0,2,3
25023507103.0,3,2
25023507104.0,1,132
25023507104.0,2,7
25023507104.0,3,3
25023508101.0,1,128
25023508101.0,2,8
25023508101.0,3,14
25023508102.0,1,85
25023508102.0,2,15
25023508102.0,3,11
25023508102.0,4,2
25023508200.0,1,133
25023508200.0,2,8
25023508200.0,3,6
25023509101.0,1,157
25023509101.0,2,10
25023509101.0,3,5
25023509102.0,1,124
25023509102.0,2,12
25023509102.0,3,9
25023509102.0,4,1
25023510100.0,1,82
25023510100.0,2,67
25023510100.0,3,11
25023510200.0,1,98
25023510200.0,2,81
25023510200.0,3,13
25023510300.0,1,24
25023510300.0,2,34
25023510300.0,3,1
25023510400.0,1,23
25023510400.0,2,31
25023510501.0,1,40
25023510501.0,2,44
25023510501.0,3,4
25023510502.0,1,84
25023510502.0,2,24
25023510502.0,3,5
25023510503.0,1,21
25023510503.0,2,15
25023510600.0,1,59
25023510600.0,2,16
25023510600.0,3,4
25023510700.0,1,65
25023510700.0,2,74
25023510700.0,3,1
25023510800.0,1,54
25023510800.0,2,82
25023510900.0,1,21
25023510900.0,2,14
25023510900.0,3,3
25023511000.0,1,55
25023511000.0,2,34
25023511000.0,3,1
25023511100.0,1,86
25023511100.0,2,75
25023511100.0,3,4
25023511200.0,1,49
25023511200.0,2,57
25023511200.0,3,6
25023511301.0,1,57
25023511301.0,2,81
25023511301.0,3,6
25023511302.0,1,34
25023511302.0,2,39
25023511302.0,3,3
25023511400.0,1,38
25023511400.0,2,41
25023511500.0,1,37
25023511500.0,2,70
25023511500.0,3,5
25023511600.0,1,80
25023511600.0,2,100
25023511600.0,3,7
25023511701.0,1,62
25023511701.0,2,69
25023511701.0,3,6
25023511702.0,1,31
25023511702.0,2,29
25023511702.0,3,2
25023520100.0,1,102
25023520100.0,2,30
25023520100.0,3,6
25023520201.0,1,77
25023520201.0,2,18
25023520201.0,3,3
25023520202.0,1,99
