census_tract,loan_amount
25025000100,1214935.4838709678
25025000201,496000.0
25025000202,623111.1111111111
25025000301,469031.00775193796
25025000302,407336.44859813084
25025000401,477830.1886792453
25025000402,578474.5762711865
25025000502,393333.3333333333
25025000503,304420.28985507245
25025000504,395078.125
25025000601,757444.4444444445
25025000602,517244.89795918367
25025000701,756219.512195122
25025000703,1348076.923076923
25025000704,546571.4285714285
25025000802,1376764.705882353
25025010103,275000.0
25025010104,962211.5384615385
25025010203,673510.6382978724
25025010204,479600.0
25025010300,342000.0
25025010403,842962.9629629629
25025010404,763596.4912280702
25025010405,1418684.2105263157
25025010408,306304.347826087
25025010500,1264166.6666666667
25025010600,1348461.5384615385
25025010701,1238103.448275862
25025010702,1816456.3106796117
25025010801,1190000.0
25025010802,855263.1578947369
25025020101,1361127.450980392
25025020200,866183.4319526628
25025020301,362096.77419354836
25025020302,1225454.5454545454
25025020303,560666.6666666666
25025030100,632948.717948718
25025030200,736785.7142857143
25025030300,655111.1111111111
25025030400,746287.1287128713
25025030500,783484.8484848485
25025040100,647964.824120603
25025040200,736818.1818181818
25025040300,611469.0721649484
25025040401,643312.5
25025040600,573345.0704225352
25025040801,701851.8518518518
25025050101,523732.3943661972
25025050200,502204.9689440994
25025050300,542210.5263157894
25025050400,623230.7692307692
25025050500,489222.22222222225
25025050600,627444.4444444445
25025050700,656732.2834645669
25025050901,543169.9346405229
25025051000,511838.70967741933
25025051101,484015.5440414508
25025051200,575847.4576271187
25025060101,599680.1346801347
25025060200,616208.0536912752
25025060301,571346.8634686347
25025060400,660710.5263157894
25025060501,781497.6958525346
25025060600,993407.8212290503
25025060800,604030.7328605201
25025061000,527931.0344827586
25025061101,947000.0
25025061200,615654.7619047619
25025070101,820945.0171821306
25025070200,685232.5581395349
25025070300,856512.9151291513
25025070402,785232.5581395349
25025070500,844600.0
25025070600,1123715.0837988828
25025070700,824440.0
25025070800,777758.6206896552
25025070900,744455.7823129252
25025071101,625000.0
25025071201,701000.0
25025080100,986428.5714285715
25025080300,649838.7096774194
25025080401,993292.6829268293
25025080500,673095.2380952381
25025080601,491111.1111111111
25025080801,14755000.0
25025080900,965350.8771929825
25025081001,820740.7407407408
25025081100,452244.89795918367
25025081200,421666.6666666667
25025081300,480384.6153846154
25025081400,529380.1652892563
25025081500,522285.71428571426
25025081700,609109.5890410959
25025081800,403461.53846153844
25025081900,700166.6666666666
25025082000,477602.7397260274
25025082100,1064743.5897435897
25025090100,568181.8181818182
25025090200,434714.28571428574
25025090300,478965.5172413793
25025090400,439868.4210526316
25025090600,462843.137254902
25025090700,580527.6381909548
25025091001,1061187.0503597122
25025091100,502121.9512195122
25025091200,562980.7692307692
25025091300,497926.8292682927
25025091400,360000.0
25025091500,492021.27659574465
25025091600,424887.6404494382
25025091700,667405.0632911392
25025091800,482260.27397260274
25025091900,445937.5
25025092000,539102.5641025641
25025092101,485503.355704698
25025092200,511000.0
25025092300,552380.9523809524
25025092400,526000.0
25025100100,558894.7368421053
25025100200,497500.0
25025100300,439403.66972477065
25025100400,424662.1621621622
25025100500,491824.644549763
25025100601,421578.94736842107
25025100603,872769.7841726618
25025100700,467170.8185053381
25025100800,444580.6451612903
25025100900,391847.2906403941
25025101001,360828.8770053476
25025101002,336792.4528301887
25025101101,440857.14285714284
25025101102,466584.1584158416
25025110103,462919.70802919706
25025110201,404841.2698412698
25025110301,610302.0134228187
25025110401,427976.1904761905
25025110403,406368.4210526316
25025110501,459312.7962085308
25025110502,434327.731092437
25025110601,439852.9411764706
25025110607,424388.37920489296
25025120103,573000.0
25025120104,462519.3798449612
25025120105,588976.6081871345
25025120201,594411.7647058824
25025120301,627655.601659751
25025120400,509125.0
25025120500,536818.1818181818
25025120600,500948.275862069
25025120700,526932.7731092437
25025130100,379538.6533665835
25025130200,472171.71717171714
25025130300,453955.69620253163
25025130402,409779.66101694916
25025130404,454935.89743589744
25025130406,386810.3448275862
25025140102,388907.5630252101
25025140105,376352.9411764706
25025140106,456764.70588235295
25025140107,382272.7272727273
25025140201,399772.7272727273
25025140202,401804.1237113402
25025140300,390248.86877828056
25025140400,305352.5641025641
25025160101,413601.3986013986
25025160200,531346.1538461539
25025160300,322394.9579831933
25025160400,1249062.5
25025160501,426074.3801652893
25025160502,491242.77456647396
25025160601,620154.6391752578
25025160602,417536.231884058
25025170100,392908.49673202616
25025170200,458369.5652173913
25025170300,378826.0869565217
25025170400,438232.3232323232
25025170501,341143.7908496732
25025170502,342360.0
25025170601,375410.25641025644
25025170701,557876.7123287672
25025170702,447016.12903225806
25025170800,416534.0909090909
25025180101,345826.0869565217
25025180200,408268.2926829268
25025180301,429375.0
25025180400,381372.54901960783
25025180500,392836.7346938776
25025981100,261250.0
25025981202,1150000.0
25025981300,419920.6349206349
25025981502,265000.0
25025981700,465000.0
25025981800,291666.6666666667
